,Location,Rate,Count,Year,Region,Subregion
129,Nicaragua,11.0,754,2021,Americas,Latin America and the Caribbean
130,Niger,4.4,788,2012,Africa,Sub-Saharan Africa
131,Nigeria ,21.7,44200,2019,Africa,Sub-Saharan Africa
132,North Macedonia,0.9,18,2022,Europe,Southern Europe
133,Northern Ireland ,1.4,27,2022,Europe,Northern Europe
134,Norway ,0.6,30,2022,Europe,Northern Europe
135,Oman ,0.3,12,2022,Asia,Western Asia
136,Pakistan ,4.2,9937,2022,Asia,Southern Asia
137,Palau,11.2,2,2018,Oceania,Micronesia
138,Palestine ,1.4,74,2022,Asia,Western Asia
139,Panama ,11.3,499,2022,Americas,Latin America and the Caribbean
140,Papua New Guinea ,9.4,713,2010,Oceania,Melanesia
141,Paraguay ,7.0,472,2022,Americas,Latin America and the Caribbean
142,Peru ,5.7,1903,2020,Americas,Latin America and the Caribbean
143,Philippines ,4.3,4764,2019,Asia,South-eastern Asia
144,Poland ,0.7,270,2022,Europe,Eastern Europe
145,Portugal ,0.8,82,2021,Europe,Southern Europe
146,Puerto Rico ,17.6,572,2022,Americas,Latin America and the Caribbean
147,Qatar ,0.3,9,2021,Asia,Western Asia
148,South Korea ,0.5,275,2022,Asia,Eastern Asia
149,Moldova ,3.0,93,2020,Europe,Eastern Europe
150,Réunion,1.7,15,2009,Africa,Sub-Saharan Africa
151,Romania ,1.3,247,2022,Europe,Eastern Europe
152,Russia ,6.8,9866,2021,Europe,Eastern Europe
153,Rwanda,3.6,472,2020,Africa,Sub-Saharan Africa
154,Saint Helena,0.0,0,2009,Africa,Sub-Saharan Africa
155,Saint Kitts and Nevis ,29.4,14,2021,Americas,Latin America and the Caribbean
156,Saint Lucia ,36.7,66,2022,Americas,Latin America and the Caribbean
157,Saint Martin,28.7,10,2016,Americas,Latin America and the Caribbean
158,Saint Pierre and Miquelon,16.5,1,2009,Americas,Northern America
159,Saint Vincent and the Grenadines,40.4,42,2022,Americas,Latin America and the Caribbean
160,Samoa,6.2,13,2018,Oceania,Polynesia
161,San Marino,0.0,0,2011,Europe,Southern Europe
162,São Tomé and Príncipe,3.2,6,2011,Africa,Sub-Saharan Africa
163,Saudi Arabia ,0.8,285,2019,Asia,Western Asia
164,Scotland ,1.0,53,2021,Europe,Northern Europe
165,Senegal,0.3,39,2015,Africa,Western Africa
166,Serbia ,1.0,74,2022,Europe,Southern Europe
167,Seychelles,4.7,5,2021,Africa,Eastern Africa
168,Sierra Leone,2.1,176,2020,Africa,Sub-Saharan Africa
169,Singapore ,0.1,7,2022,Asia,South-eastern Asia
170,Slovakia ,0.7,42,2022,Europe,Eastern Europe
171,Slovenia ,0.6,13,2022,Europe,Southern Europe
172,Solomon Islands,3.7,19,2008,Oceania,Melanesia
173,South Africa ,41.9,24865,2021,Africa,Sub-Saharan Africa
174,South Sudan,14.1,1504,2012,Africa,Sub-Saharan Africa
175,Spain ,0.7,325,2022,Europe,Southern Europe
176,Sri Lanka ,3.4,742,2019,Asia,Southern Asia
177,Suriname ,7.3,45,2022,Americas,Latin America and the Caribbean
178,Sweden ,1.1,116,2022,Europe,Northern Europe
179,Switzerland ,0.5,43,2022,Europe,Western Europe
180,Syria,2.1,463,2010,Asia,Western Asia
181,Tajikistan,0.9,87,2020,Asia,Central Asia
182,Tanzania,3.7,2286,2020,Africa,Sub-Saharan Africa
183,Thailand ,4.8,3307,2011,Asia,South-eastern Asia
184,Tonga ,1.0,1,2019,Oceania,Polynesia
185,Trinidad and Tobago ,40.0,605,2022,Americas,Latin America and the Caribbean
186,Tunisia,4.6,562,2020,Africa,Northern Africa
187,Turkey ,2.7,2279,2022,Asia,Western Asia
188,Turkmenistan,1.1,63,2015,Asia,Central Asia
189,Turks and Caicos Islands,5.7,2,2014,Americas,Latin America and the Caribbean
190,Tuvalu ,0.0,0,2019,Oceania,Polynesia
191,Uganda,8.5,3912,2021,Africa,Sub-Saharan Africa
192,Ukraine ,3.8,1673,2021,Europe,Eastern Europe
193,United Arab Emirates ,0.5,44,2021,Asia,Western Asia
194,United Kingdom (England and Wales),1.2,696,2021,Europe,Northern Europe
195,United Kingdom (Great Britain and Northern Ireland),1.0,673,2020,Europe,Northern Europe
196,United States ,6.4,21593,2022,Americas,Northern America
197,U.S. Virgin Islands,49.6,52,2012,Americas,Latin America and the Caribbean
198,Uruguay,11.2,383,2022,Americas,Latin America and the Caribbean
199,Uzbekistan,1.4,479,2021,Asia,Central Asia
200,Vanuatu,0.3,1,2020,Oceania,Melanesia
201,Venezuela ,19.3,5444,2021,Americas,Latin America and the Caribbean
202,Vietnam ,1.5,1358,2011,Asia,South-eastern Asia
203,Yemen ,6.3,1703,2013,Asia,Western Asia
204,Zambia,5.2,853,2015,Africa,Sub-Saharan Africa
205,Zimbabwe ,6.7,1086,2022,Africa,Sub-Saharan Africa
